ISN,Downloadable,Title,Author/Org,Document,Published,Pages,Maps,Map Types,Subjects,Areas,NTS,Licence,Coverage,Notes,Ordering,Long/Lat,Source,,Degree
350,Yes,The Mineralogy of Nova Scotia,"Cox, E J, Nova Scotia Department of Mines and Energy ",Open File Report ME 015,1938,42 page(s),0 map(s),,basalts; Cambrian; coal; fossil fuels; gold; granites; gypsum; iron; Meguma Gp; metallic minerals; metallic oxides; mineralization; mineralogy; Ordovician; precious stones; silver; sulphides; Triassic; vein deposits,Nova Scotia,,,,,Contact NSDNR Library: (902) 424-8633; nsdnrlib@gov.ns.ca,,,,
354,No,"Arichat Map Area, Richmond and Inverness Counties","Collins, G A, Nova Scotia Department of Mines and Energy ",Open File Report ME 011,1962,27 page(s),1 map(s),"geological, scale: 1:31680","Canso Gp; Carboniferous; coal; conglomerates; copper; Devonian; evaporites; faults, thrust; fossil fuels; granites; Grantmire Fm; gypsum; Horton Gp; iron; limestones; malachite; metallic minerals; mineralization; mineralogy; Mississippian; mylonites; Pennsylvanian; Precambrian; regional geology; Riversdale Gp; sandstones; shales; stratigraphic charts; stratigraphy; structural geology; syenites; tectonics; Triassic; Windsor Gp",Arichat; Cape Breton Island; Inverness County; Richmond County,11F/11,,,,Contact NSDNR Library: (902) 424-8633; nsdnrlib@gov.ns.ca,,,,
370,No,"Coal Production Figures for Nova Scotia, 1863-1976","Gregory, D J, Nova Scotia Department of Mines and Energy;Bisson, L M, Nova Scotia Department of Mines and Energy ;Richardson, J M, Nova Scotia Department of Mines and Energy ",Open File Report ME 327,1976,177 page(s),0 map(s),,"coal; coal seams; economic geology; fossil fuels; mines; Pennsylvanian; production; VLF-EM surveys, ground",Cape Breton County; Cape Breton Island; Chimney Corner; Chimney Corner Coalfield; Colchester County; Cumberland County; Glengarry; Glengarry Coalfield; Inverness; Inverness Coalfield; Inverness County; Joggins; Joggins Coalfield; Mabou; Mabou Coalfield; Pictou; Pictou Coalfield; Pictou County; Port Hood; Port Hood Coalfield; Richmond Coalfield; Richmond County; River Hebert; River Hebert Coalfield; Springhill; Springhill Coalfield; St Rose Coalfield; St. Rose; Sydney; Sydney Coalfield,11E/10A; 11E/10B; 11F/16B; 11F/16C; 11K/01D; 11K/03B; 11K/03C; 11K/04A; 11K/06A; 11K/06D; 21H/09C; 21H/09D,,,,Contact NSDNR Library: (902) 424-8633; nsdnrlib@gov.ns.ca,,,,
371,No,Strip Mining in Cape Breton,"Reid, J S, Nova Scotia Department of Mines and Energy ",Open File Report ME 326,1974,17 page(s),0 map(s),,Bonar Seam; coal; coal ash; coal seams; economic geology; fossil fuels; metallic minerals; ore reserves; overburden; Pennsylvanian; production; strip mining; sulphur,Alder Point; Cape Breton County; Cape Breton Island; Sydney Coalfield,11K/08B,,,,Contact NSDNR Library: (902) 424-8633; nsdnrlib@gov.ns.ca,,,,
382,Yes,"Pedological Inventory-Coal and Gypsum Mining Wastes, New Brunswick and Nova Scotia","Abbott, D, New Brunswick Research and Productivity Council;Nova Scotia Department of Mines and Energy",Open File Report ME 252,1976,170 page(s),8 map(s),"coal field location, scale: 1:158400; coal sample location, scale: 1:158400; coal waste dump, scale: 1:9504; industrial mineral location, scale: 1:2787840; mine site plan, scale: 1:9504; rock sample location, scale: 1:9504; vegetation type, scale: 1:158400",biogeochemistry; chemical analyses; coal; economic geology; environmental geology; fossil fuels; geochemistry; gypsum; histograms; industrial minerals; mine dumps; mine waste products; mining properties; ore reserves; overburden; pedology; Pennsylvanian; photographs; pits; production; regional geology; strip mining; surficial geology/geomorphology; vegetation,Cape Breton County; Cape Breton Island; Cumberland County; Hants County; Inverness County; Joggins; Joggins Coalfield; Milford Station; Nova Scotia; Pictou County; River Denys; Springhill; Springhill Coalfield; St. Rose; Stellarton; Sydney; Sydney Coalfield,11E/03B; 11E/10A; 11F/14A; 11J/04B; 11J/04C; 11K/01D; 11K/06D; 11K/08A; 11K/08B; 21H/09C; 21H/09D,,,,Contact NSDNR Library: (902) 424-8633; nsdnrlib@gov.ns.ca,,,,
399,No,Petroleum Prospects of Concessions,"Murray, B C, Nova Scotia Department of Mines and Energy ;Shaw, W S, Rodgers, Seglund and Shaw Associates",Open File Report ME 232,1959,81 page(s),11 map(s),"coal seam location, scale: 1:63360; drillhole location, scale: 1:2217600; geological, scale: 1:760320; gravity, ground, scale: 1:63360; property location, scale: 1:2217600; stratigraphic column location, scale: 1:63360; structural, scale: 1:2217600; surficial geological, scale: 1:63360","anticlines; Canso Gp; Cap Perce Anticline; Carboniferous; coal seams; correlation sections; correlations; cross-sections; drillholes; faults; fossil fuels; fossil plants; geophysics; gravity surveys, ground; Horton Gp; paleontology; petroleum; Pictou Anticline; Pictou Gp; Pugwash Anticline; regional geology; River John Gp; salt; stratigraphic columns; stratigraphy; structural geology; surficial geology/geomorphology; Tracy Seam; Windsor Gp",Cap Perce; Cape Breton Island; Pictou; Pugwash; River John,11E/11; 11E/11D; 11E/12; 11E/13; 11E/14; 11F/12C; 11K/03B; 21A/16A; 21A/16D,,,,Contact NSDNR Library: (902) 424-8633; nsdnrlib@gov.ns.ca,,,,
402,No,Petroleum Geology of the Maritime Provinces,"Fournier, F L, Esso Resources Canada Limited ;Olsson, A A, Esso Resources Canada Limited ;Nova Scotia Department of Mines and Energy",Open File Report ME 229,1944,107 page(s),2 map(s),"geological, scale: 1:1013760; property location, scale: 1:1013760",Albert Fm; albertite; anticlines; Carboniferous; coal; correlation charts; correlations; cross-sections; Cumberland Gp; drillholes; fossil fuels; fossils; gas; Horton Gp; Minudie Anticline; oil; oil shales; paleontology; petroleum; photographs; regional geology; shales; stratigraphic charts; stratigraphic columns; stratigraphy; structural geology; Windsor Gp,Minas Basin,21H/01; 21H/02; 21H/07; 21H/08,,,,Contact NSDNR Library: (902) 424-8633; nsdnrlib@gov.ns.ca,,,,
410,Yes,Oil Shales in Nova Scotia,"Grant, R I, Nova Scotia Department of Mines and Energy ;Flynn, A E, Nova Scotia Department of Mines and Energy;Murphy, G F, Nova Scotia Department of Mines and Energy",Open File Report ME 221,1957,14 page(s),0 map(s),,Carboniferous; chemical analyses; coal; coal analyses; drillholes; fossil fuels; geochemistry; lithology; mineral exploration activities; oil; oil shales; ore reserves,Nova Scotia,,,,,Contact NSDNR Library: (902) 424-8633; nsdnrlib@gov.ns.ca,,,,
466,Yes,"Laboratory Investigations on Rock Samples from Springhill, Nova Scotia","Cameron, E L, Nova Scotia Department of Mines and Energy",Open File Report ME 164,1955,4 page(s),0 map(s),,coal; drillholes; engineering geology; fossil fuels; Pennsylvanian; rock samples; rock stress analyses; sandstones; shales,Cumberland County; Springhill; Springhill Coalfield,21H/09D,,,,Contact NSDNR Library: (902) 424-8633; nsdnrlib@gov.ns.ca,,,,
467,Yes,"Proceedings of Seminar on Rock Testings Held at Nova Scotia Technical College, Halifax, Nova Scotia","Zorychta, H, Nova Scotia Department of Mines and Energy ",Open File Report ME 163,1955,19 page(s),0 map(s),,coal; engineering geology; fossil fuels; rock stress analyses; sandstones; shales,Halifax; Halifax County,11D/12D,,,,Contact NSDNR Library: (902) 424-8633; nsdnrlib@gov.ns.ca,,,,
